Project Name,SPI/PPI,Sector,Sub sector,Technology,Project Description,Region,World Bank Income Group,Number of Countries,Country 1,Country 2,Execution Date,Execution Type,Project Type ,Government Granting Entity,Government Support,Capacity,Capacity Unit,State Ownership (%),Private Ownership (%),Total Investment (USDm),Total Debt (USDm),Total Grant (USDm),Grant Provided By,Total State Contribution (USDm),Guarantees,SOE vs Public,Sponsors,Sponsor Contribution (USDm),Multilateral/Bilateral/Public Involvement,Multilateral/Bilateral/Public Allocations,Commercial Lenders,CommercialDebt,MultilateralDebt,BilateralDebt,InstitutionalDebt,PublicDebt,InternationalDebt,LocalDebt,GDP2016,Population2016,GDP2011,GDP2017
Rehabilitation of the public highway T-18-06 Rivne-Mlyniv-Berestechko-Busk - Peremyshlyany (31.769 KM),SPI,Transport,Roads,Not Applicable,"The project scope includes the rehabilitation of the public highway T-18-06 Rivne-Mlyniv-Berestechko-Busk - Peremyshlyany on the section km 121+ 400 km 153 + 169 Lviv region. Works are located in Ukraine. The total capacity of the project is 31.769 KM. Sponsor is Road service in the Lviv region. Financing comprises $10.31 million provided by the sponsor. Onur Construction International Ltd. will construct the project. Contract was awarded on May 22, 2017.",Europe and Central Asia,Lower middle income,1,Ukraine,,22/05/2017,Date of award,Brownfield,Local/Municipal,Not Applicable,31.769,KM,100,0,10.31,0,Not Applicable,Not Applicable,10.31,Not Applicable,Public,Road service in the Lviv region,10.31,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,0,0,93270479389,45004645,1.63E+11,1.12E+11
Dehradun electrification project (DDUGJY),SPI,Energy,Electricity Transmission,Not applicable,"The project scope includes the construction, financing and operation of new 33/11 KV sub-stations, new 33 kV line, augmentation of existing 33/11 KV sub-stations, renovation of existing 33 KV line, LT distribution works and 11 KV transmission works in Dehradun district under Deen Dayal Upadhyaya Gram Jyoti Yojana. The project is located in Uttarakhand. The total capacity of the facility is 33KV. The sponsor is Uttarakhand Power Corporation Limited and covers the whole cost of the project, equal to $10.29 million. Contract was awarded on August 11, 2017.",South Asia,Lower middle income,1,India,,11/08/2017,Date of award,Greenfield,State/Provincial,Not Applicable,33,KV (Kilo Volt),100,0,10.29,Not Applicable,0,Not Applicable,10.29,Not Applicable,SOE,Uttarakhand Power Corporation Limited,10.29,Not Applicable,Not Applicable,Not Applicable,0,,,,,0,0,2.26E+12,1324171354,1.82E+12,2.60E+12
"Repair of the road P-21 ""Kola"" St. Petersburg - Petrozavodsk - Murmansk - Pechenga - the border with the Kingdom of Norway, the Republic of Karelia (11KM)",SPI,Transport,Roads,Not Applicable,"The project entails the repair of the road P-21 ""Kola"" St. Petersburg - Petrozavodsk - Murmansk - Pechenga - the border with the Kingdom of Norway in the area of ??622 km - 633 km, the Republic of Karelia. Sponsor of the project is Federal State Establishment Of The Office Of The Highway St. Petersburg - Murmansk Federal Road Agency and covers the whole cost of the project which is equal to $ 10.29 million. Date of award is May 30, 2017.",Europe and Central Asia,Upper middle income,1,Russian Federation,,30/05/2017,Date of Award,Brownfield,State/Provincial,Not Applicable,11,KM,100,0,10.29,0,Not Applicable,Not Applicable,10.29,Not Applicable,Public,Federal State Establishment Of The Office Of The Highway St. Petersburg - Murmansk Federal Road Agency,10.29,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,0,0,1.28E+12,144342396,2.05E+12,1.58E+12
Two laning of Doimukh-Harmuti road in length of 17.5 km,SPI,Transport,Roads,Not Applicable,"The project entails the construction of  two laning of Doimukh-Harmuti Road from Harmuti Junction 0.0 km to Khula Camp 14.4 km and Doimukh 0.0 km to Bagh Tinali 3.1 km. The capacity of the project is 17.5 km. Works are located in Assam, India. The sponsor is National Highways and Infrastructure Development Corporation Limited and covers the whole investment amount, equal to $ 10.26 million. The contractor is Nabham Tullon-ECI Engineering & Construction Company Limited (JV). Contract was awarded on March 7, 2017. ",South Asia,Lower middle income,1,India,,07/03/2017,Date of award,Greenfield,State/Provincial,Not Applicable,17.5,KM,100,0,10.26,0,Not Applicable,Not Applicable,10.26,Not Applicable,SOE,National Highways and Infrastructure Development Corporation Limited,10.26,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,0,0,2.26E+12,1324171354,1.82E+12,2.60E+12
Beur sewage treatment plant ,SPI,Water,Treatment Plant,Not applicable,"The project entails the construction, financing and operation ofsewage treatment plant in India. The capacity of the facility is 23 MLD. Bihar Urban Infrastructure Development Corporation Limited is the sponsor of the project. The total project cost is $10.18 million. The date of award took place on March 1, 2017. ",South Asia,Lower middle income,1,India,,01/03/2017,Date of award,Greenfield,State/Provincial,Not Applicable,23,MLD (million litres per day),100,0,10.18,Not Applicable,0,Not Applicable,10.18,Not Applicable,SOE,Bihar Urban Infrastructure Development Corporation Limited,10.18,Not Applicable,Not Applicable,Not Applicable,0,,,,,0,0,2.26E+12,1324171354,1.82E+12,2.60E+12
"Building Distributor Vial Blvd. Miguel Hidalgo With Blvd. Mil Cumbres, Reynosa, Tamaulipas.",SPI,Transport,Roads,Not Applicable,"The project entails the building distributor vial blvd. Miguel Hidalgo with blvd. Mil Cumbres, Reynosa, Tamaulipas. The sponsor is Government of Tamaulipas and covers the whole amount of $10.17 million. Date of award occurred on November 30, 2017. The company chosen for the construction of the project is Calzada Construcciones Sa De Cv.",Latin America and the Caribbean,Upper middle income,1,Mexico,,30/11/2017,Date of award,Greenfield,Local/Municipal,Not Applicable,N/A,N/A,100,0,10.17,0,Not Applicable,Not Applicable ,10.17,Not Applicable,Public,Government of Tamaulipas,10.17,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,0,0,1.05E+12,127540423,1.18E+12,1.15E+12
"Construction of motorways, roads, road network and other vehicular or pedestrian ways and runways of airfields in Moscow (project XXXXIV)",SPI,Transport,Roads,Not Applicable,"The project entails the construction of motorways, roads, road network and other vehicular or pedestrian ways and runways of airfields in Moscow (project XXXXIV). Sponsor of the project is State Fiscal Institutions In The City Of Moscow On Overhaul Of Apartment Buildings Moscow Ukris and covers the whole cost of the project which is equal to $ 10.13 million. Date of award is December 25, 2017. The company chosen for the construction is Ooo ""Specstroj"".",Europe and Central Asia,Upper middle income,1,Russian Federation,,25/12/2017,Date of Award,Brownfield,State/Provincial,Not Applicable,N/A,N/A,100,0,10.13,0,Not Applicable,Not Applicable,10.13,Not Applicable,Public,State Fiscal Institutions In The City Of Moscow On Overhaul Of Apartment Buildings Moscow Ukris,10.13,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,0,0,1.28E+12,144342396,2.05E+12,1.58E+12
Construction of flyover at Maharana Pratap chowk in length of 1.6 km,SPI,Transport,Roads,Not Applicable,"The project entails construction of flyover, improvement of roads and junctions at Maharana Pratap chowk in Bilaspur district. The length of the project is 1.6 KM. Works are located in Chhattisgarh, India. The sponsor is Urban Administration & Development, Chhattisgarh and covers the whole investment amount, equal to $ 10.12 million. Brahmaputra Infrastructure Limited will construct the project. Contract was awarded on July 5, 2017.",South Asia,Lower middle income,1,India,,05/07/2017,Date of award,Greenfield,State/Provincial,Not Applicable,1.6,KM,100,0,10.12,0,Not Applicable,Not Applicable,10.12,Not Applicable,Public,"Urban Administration & Development, Chhattisgarh",10.12,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,0,0,2.26E+12,1324171354,1.82E+12,2.60E+12
"Reconstruction of the road-Chusovoi Kalino-Verhnechusovskie Towns (considering exits. The villages and d. Vereina) I step (section 3), II, III steps (sections 4.5).",SPI,Transport,Roads,Not Applicable,"The project entails the reconstruction of the road-Chusovoi Kalino-Verhnechusovskie Towns (considering exits. The villages and d. Vereina) I step (section 3), II, III steps (sections 4.5).. Sponsor of the project is Municipal Public Institutions Capital Construction Chusovskaya Municipal District and covers the whole cost of the project which is equal to $ 10.12 million. Date of award is April 19, 2017. The company chosen for the construction is Obshhestvo S Ogranichennoj Otvetstvennost''Ju ""Evrodorstroj"".",Europe and Central Asia,Upper middle income,1,Russian Federation,,19/04/2017,Date of Award,Brownfield,State/Provincial,Not Applicable,N/A,N/A,100,0,10.12,0,Not Applicable,Not Applicable,10.12,Not Applicable,Public,Municipal Public Institutions Capital Construction Chusovskaya Municipal District,10.12,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,0,0,1.28E+12,144342396,2.05E+12,1.58E+12
Car road with advanced type of road surface in Siberia,SPI,Transport,Roads,Not Applicable,"The project entails the car road with advanced type of road surface in Siberia. Sponsor of the project is Federal Public Institutions Federal Highway Administration Siberia Federal Road Agency and covers the whole cost of the project which is equal to $ 10.1 million. Date of award is May 26, 2017. The company chosen for the construction is Akcionernoe Obshhestvo ""Enisejavtodor"".",Europe and Central Asia,Upper middle income,1,Russian Federation,,26/05/2017,Date of Award,Greenfield,State/Provincial,Not Applicable,N/A,N/A,100,0,10.1,0,Not Applicable,Not Applicable,10.1,Not Applicable,Public,Federal Public Institutions Federal Highway Administration Siberia Federal Road Agency,10.1,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,0,0,1.28E+12,144342396,2.05E+12,1.58E+12
Kastamonu-Innebolu Road Project,SPI,Transport,Roads,Not Applicable,"The project entails the finance and construction of Kastamonu-Innebolu road (including roads),(Kastamonu-Çank?r?) Project . Sponsor of the project is Regional Directorate-15Th District Kastamonu Other Private Budgetary Institutions General Directorate Of Highways and covers the whole cost of the project which is $10.1 million. Date of award is October 19, 2017.",Europe And Central Asia,Upper middle income,1,Turkey,,19/10/2017,Date of award,Greenfield,State/Municipal,Not Applicable,N/A,N/A,100,0,10.1,Not Applicable,Not Applicable,Not Applicable,10.1,Not Applicable,Public,Regional Directorate-15Th District Kastamonu Other Private Budgetary Institutions General Directorate Of Highways,10.1,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,0,0,8.64E+11,79512426,8.33E+11,8.51E+11
"Overhaul of road P - 22 (M-6) ""Caspian"" highway M-4 ""Don"" - Tambov - Volgograd - Astrakhan in the Astrakhan region (8.5KM)",SPI,Transport,Roads,Not Applicable,"The project entails the overhaul of road P - 22 (M-6) ""Caspian"" highway M-4 ""Don"" - Tambov - Volgograd - Astrakhan km 1363 + 000 - Km 1371 + 500 in the Astrakhan region. Sponsor of the project is Federal State Establishment Of The Office Of The Federal Highway Caspian Federal Road Agency and covers the whole cost of the project which is equal to $ 10.1 million. Date of award is July 28, 2017. The company chosen for the construction is Akcionernoe Obshhestvo ""Remdorstroj"".",Europe and Central Asia,Upper middle income,1,Russian Federation,,28/07/2017,Date of Award,Brownfield,State/Provincial,Not Applicable,8.5,KM,100,0,10.1,0,Not Applicable,Not Applicable,10.1,Not Applicable,Public,Federal State Establishment Of The Office Of The Federal Highway Caspian Federal Road Agency,10.1,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,0,0,1.28E+12,144342396,2.05E+12,1.58E+12
Rehabilitation of public highway P-15 Kovel - Volodymyr - Volynsky - Chervonograd - Zhovkva (23.363 KM),SPI,Transport,Roads,Not Applicable,"The project scope includes the rehabilitation of public highway P-15 Kovel - Volodymyr - Volynsky - Chervonograd - Zhovkva on the area km 137 + 000 - km 160 + 363 Lviv region. Works are located in Ukraine. The total capacity of the project is 23.363 KM. Sponsor is Road service in the Lviv region. Financing comprises $10.09 million provided by the sponsor. Motorway-South Ltd. will construct the project. Contract was awarded on June 16, 2017.",Europe and Central Asia,Lower middle income,1,Ukraine,,16/06/2017,Date of award,Brownfield,Local/Municipal,Not Applicable,23.363,KM,100,0,10.09,0,Not Applicable,Not Applicable,10.09,Not Applicable,Public,Road service in the Lviv region,10.09,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,0,0,93270479389,45004645,1.63E+11,1.12E+11
West Cairo Power Station Expansion 650 MW ,SPI,Energy,Electricity Generation,Steam,"The project involves the construction of steam electricity production units with a capacity of 650MW. It includes the construction of a powerhouse, a substation, access roads and the installation of steam generators, condensers, transformers and auxiliaries, and the laying of transmission lines. Sponsor is Egyptian Electricity Holding Company (EEHC). Hassan Allan Holding and Consolidated Contractors Company (CCC) are implementing the project. Total investment stands at $696 million.Project financing amounts to $421 million provided by Arab Fund for Economic and Social Development (AFESD) ($216 million), Kuwait Fund for Arab Economic Development ($105 million),  Saudi Fund for Development (SFD) ($100 million). Construction started on July 4, 2017 and the project is expected to be completed by May 2021.",Middle East and North Africa,Lower middle income,1,"Egypt, Arab Rep.",,04/07/2017,Construction start,Greenfield,National,Not Applicable,650,MW,100,0,696,421,0,Not Applicable,275,Not Applicable,SOE,Egyptian Electricity Holding Company (EEHC),275,"Arab Fund for Economic and Social Development (AFESD) (216), Kuwait Fund for Arab Economic Development(105),  Saudi Fund for Development (SFD) (100)",421,N/A,0,216,205,,,421,0,3.33E+11,95688681,2.36E+11,2.35E+11
"Construction of motorways, roads, road network and other vehicular or pedestrian ways and runways of airfields in Moscow (project XXXXV)",SPI,Transport,Roads,Not Applicable,"The project entails the construction of motorways, roads, road network and other vehicular or pedestrian ways and runways of airfields in Moscow (project XXXXV). Sponsor of the project is State Public Institutions Moscow Management Overhaul Overhaul Department Of Moscow and covers the whole cost of the project which is equal to $ 10.08 million. Date of award is November 20, 2017. The company chosen for the construction is Ooo ""Rador M"".",Europe and Central Asia,Upper middle income,1,Russian Federation,,20/11/2017,Date of Award,Brownfield,State/Provincial,Not Applicable,N/A,N/A,100,0,10.08,0,Not Applicable,Not Applicable,10.08,Not Applicable,Public,State Public Institutions Moscow Management Overhaul Overhaul Department Of Moscow,10.08,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,0,0,1.28E+12,144342396,2.05E+12,1.58E+12
