"","Project.Name","Project.Description","Sub.sector","Technology","Country","Capacity","Capacity.Unit","Region"
"227","Xe Namnoy 2 & Xe Katam 1 Hydro Power Plants","The project entails the construction and operation of two small hydroelectric plants - 6.7 MW Xe Namnoy 2 & 13.1 MW Xe Katam 1, located in Paksong, Champasak province.  Xe Namnoy and Xe Katam Hydropower Co are the project companies that will lead the projects on behalf of the sponsor B.Grimm Power. Laos-based SV Group Ltd. will operate the project.

This is a greenfield project initiated on a BOO basis. Electricite du Laos is the sole offtaker of all electricity generated by the plants.

The estimated investment amount for the two plants stands at $50 million and is entirely debt funded. Lenders are Bangkok Bank and Export-Import Bank of Thailand, each providing $25 million. Financing closed on September 16, 2017.","Electricity generation","Hydro","Lao PDR","15","MW","East Asia and Pacific"
"228","Xiantao Yanglinwei 150MW Solar Power Plant","On February 15, 2017, construction of a solar power plant commenced in Yanglinwei Village, Xiantao City, Hubei Province. The sponsor of this Build Operate Transfer project was a local private company Risen Energy Co., Ltd.. The total investment was US$ 174.55 million (RMB 1200 million) and Sungrow had a 100% stake in the project. The solar power plant had a capacity of 150MW.","Electricity generation","Solar","China","150","MW","East Asia and Pacific"
"229","Yadadri supercritical thermal power ","The project entails the construction, finance and operation of new Yadadri supercritical thermal power. The plant is located at Damaracherla in Nalgonda district of Telangana, India. The Yadadri supercritical thermal power  has a total output of 4000 MW . The Investment stands over $3 billion. The sponsor is Telangana State Power Generation (TSGENCO). The construction started on October 24, 2017.","Electricity Generation","Steam","India","4000","MW","South Asia"
"230","Yanan Yinggu Guorun Changde 200MW Distributed Solar Power Plant","On November 9, 2017, construction of a solar power plant commenced in Changde City, Hunan Province. The sponsor of this Build Operate Transfer project was a local private company Yanan Yinggu Guorun New Energy Technology Company Limited. The total investment was US$ 177.59 million (RMB 1.2 billion) and Yanan Yinggu had a 100% stake in the project. The power plant had a capacity of 200MW. Other particulars of the project were not reported.","Electricity generation","Solar","China","200","MW","East Asia and Pacific"
"231","Yangquan City Baiyangshu 50MW Solar Power Plant","On February 15, 2017, construction of a solar power plant commenced in Baiyangshu Village, Yangquan City, Shanxin Province. The sponsor of this Build Operate Transfer project was a local private company Sungrow Power Co., Ltd. The total investment was US$ 55.17 million (RMB 380 million) and Sungrow had a 100% stake in the project. A special purpose vehicle  Yangquan City Huiyang New Energy Power Generation Co., Ltd. was established to implement the project.","Electricity generation","Solar","China","48","MW","East Asia and Pacific"
"232","Yaocheng Wucheng County 100MW Solar Power Plant","On March 1, 2017, construction of a 100MW solar power plant commenced in Wucheng County, Shandong Province. The sponsor of this Build Operate Transfer project was a local private company Qingdao Changshengridian Solar Power Technology Company Limited. The total investment was US$ 210.63 million (RMB 1448 million) and Qingdao Changshengridian had a 100% stake in the project. The power plant had a capacity of 100MW. Other particulars of the project were not reported.","Electricity generation","Solar","China","100","MW","East Asia and Pacific"
"233","Yebatan Hydro Power Station Project","The project entails the  the construction of the 2240MW Yebatan hydro power station located on the main course of Jinsha River, China. Borrower is Huadian Jinsha River Upstream Hydropower Development. Sponsor is China Huadian. The total project cost is $3,900 million.Financing comprises a 32-year term loan provided by a group of Chinese banks. MLAs are Agricultural Bank of China, BOC, Bank of Tibet, CCB, China Development Bank, ICBC and Postal Savings Bank of China. Financial close occurred on 25 May 2017.","Electricity Generation","Hydro","China","2240","MW","East Asia and Pacific"
"234","Yiyang Lingjiaocha 20MW Solar Power Plant","On May 9, 2017, construction of a solar power plant commenced in Quanjiaohe Town, Heshan District, Yiyang City, Hunan Province.  Construction was completed on June 29, 2017. The sponsor of this Build Operate Transfer project was a local private company Yonker Environmental Protection Company Limited. The total investment was US$ 21.82 million (RMB 150 million) and Yonker had a 100% stake in the project. The power plant had a capacity of 20MW. A special purpose vehicle Yiyang Linjiaocha Solar Power Development Company Limited was established to implement the project. Other particulars of the project were not reported.","Electricity generation","Solar","China","20","MW","East Asia and Pacific"
"235","Yonker Liuyang Economic Development Zone Solar Power Plant","On April 13, 2017, construction of a solar power plant commenced in the Liuyang Economic Development Zone, Changsha City, Hunan Province.  The sponsor of this Build Operate Transfer project was a local private company Yonker Environmental Protection Company Limited. The total investment was US$ 2.62 million (RMB 18 million) and Yonker had a 100% stake in the project. The power plant had a capacity of 3.061MW. Other particulars of the project were not reported.","Electricity generation","Solar","China","470","MW","East Asia and Pacific"
"236","Yuanjiang County Natang 20MW Solar Power Plant","On November 28, 2017, construction of a solar power plant commenced in Yuanjiang County, Yunnan Province. The sponsor of this Build Operate Transfer project was a local private company Qingdao Changshengridian. The total investment was US$ 26.64 million (RMB 180 million) and Changshengridian had a 100% stake in the project. The power plant had a capacity of 20MW. The concession term was 25 years. Other particulars of the project were not reported.","Electricity generation","Solar","China","12","MW","East Asia and Pacific"
"237","Yumen Xinneng 50MW Molten Salt Optothermal Power Plant","On March 6, 2017, construction of the Yumen Xinneng 50MW Molten Salt Optothermal Power Plant commenced in Yumen City, Gansu Province. The sponsor of this Build Operate Transfer project was a local private company Shaanxi Xinneng Environment Technology Company Limited. The total investment was US$ 260.37 million (RMB 1790 million) and Xinneng had a 100% stake in the project. The power plant had a capacity of 50MW.","Electricity generation","Solar","China","50","MW","East Asia and Pacific"
"238","Yumen Zhongshangmingde 50MW Heat Conduction Oil Solar Power Plant","On March 6, 2017, construction of the Yumen Zhongshangmingde 50MW Heat Conduction Oil Solar Power Plant commenced in Yumen City, Gansu Province. The sponsor of this Build Operate Transfer project was a local private company Beijing Zhongshangmingde Solar Power Generation Investment Company Limited . The total investment was US$ 218.19 million (RMB 1500 million) and Zhongshangmingde had a 100% stake in the project. The power plant had a capacity of 50MW. A special purpose vehicle Yumen Zhongshangmingde Solar Power Generation Company Limited  was established to implement the project.","Electricity generation","Solar","China","50","MW","East Asia and Pacific"
